num_features,features,mean_r2
4,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer')",0.19675023183201837
3,"('blast furnace slag', 'fly ash', 'superplasticizer')",0.19556965079798974
2,"('superplasticizer', 'fine aggregate')",0.19240368198516916
3,"('blast furnace slag', 'water ', 'fine aggregate')",0.19208037095559335
3,"('blast furnace slag', 'superplasticizer', 'fine aggregate')",0.19191419743722207
2,"('water ', 'fine aggregate')",0.18868523466941928
3,"('fly ash', 'water ', 'coarse aggregate')",0.1650529041454326
4,"('blast furnace slag', 'fly ash', 'water ', 'coarse aggregate')",0.1645501866760459
4,"('blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate')",0.1530244001290634
3,"('coarse aggregate', 'fine aggregate', 'age')",0.1501200404191607
4,"('blast furnace slag', 'coarse aggregate', 'fine aggregate', 'age')",0.1487070385840447
4,"('fly ash', 'coarse aggregate', 'fine aggregate', 'age')",0.14714521006661876
3,"('blast furnace slag', 'water ', 'superplasticizer')",0.14650803926719974
5,"('blast furnace slag', 'fly ash', 'coarse aggregate', 'fine aggregate', 'age')",0.14519647373272984
3,"('blast furnace slag', 'superplasticizer', 'coarse aggregate')",0.14438167196291918
2,"('blast furnace slag', 'superplasticizer')",0.14344830718825005
3,"('water ', 'superplasticizer', 'coarse aggregate')",0.14308626588158188
3,"('blast furnace slag', 'water ', 'coarse aggregate')",0.14000717724990003
3,"('blast furnace slag', 'coarse aggregate', 'age')",0.13679980195182323
2,"('superplasticizer', 'coarse aggregate')",0.13601128169609084
4,"('blast furnace slag', 'fly ash', 'coarse aggregate', 'age')",0.1326008569156974
2,"('coarse aggregate', 'age')",0.13229560525676762
1,"('superplasticizer',)",0.131692902682985
2,"('water ', 'coarse aggregate')",0.13074736879296656
2,"('water ', 'superplasticizer')",0.13072174140935192
3,"('fly ash', 'coarse aggregate', 'age')",0.1302222014903899
3,"('blast furnace slag', 'fine aggregate', 'age')",0.12426058246648715
2,"('blast furnace slag', 'age')",0.1202691028563085
3,"('blast furnace slag', 'fly ash', 'water ')",0.11994044666861667
4,"('blast furnace slag', 'fly ash', 'fine aggregate', 'age')",0.11948762749167105
2,"('fine aggregate', 'age')",0.11610856123503051
3,"('blast furnace slag', 'fly ash', 'age')",0.11532262629450907
3,"('fly ash', 'fine aggregate', 'age')",0.11225084775202909
2,"('fly ash', 'water ')",0.10998523112115488
2,"('blast furnace slag', 'water ')",0.10584417217209982
1,"('age',)",0.1058068173572213
2,"('fly ash', 'age')",0.10289062601503718
1,"('water ',)",0.0820488551306772
3,"('fly ash', 'coarse aggregate', 'fine aggregate')",0.06372011188773923
4,"('blast furnace slag', 'fly ash', 'coarse aggregate', 'fine aggregate')",0.06181843914940608
2,"('coarse aggregate', 'fine aggregate')",0.06175943506090966
3,"('blast furnace slag', 'coarse aggregate', 'fine aggregate')",0.05946939245644549
2,"('fly ash', 'coarse aggregate')",0.03168427436020234
3,"('blast furnace slag', 'fly ash', 'coarse aggregate')",0.03071931158286869
2,"('blast furnace slag', 'coarse aggregate')",0.030012630246825323
2,"('blast furnace slag', 'fine aggregate')",0.027182546540406617
1,"('coarse aggregate',)",0.02649899351582996
3,"('blast furnace slag', 'fly ash', 'fine aggregate')",0.0253650909394475
2,"('fly ash', 'fine aggregate')",0.024366127526725845
1,"('fine aggregate',)",0.023327475316137415
1,"('blast furnace slag',)",0.011862513775472183
2,"('blast furnace slag', 'fly ash')",0.00982493095959458
1,"('fly ash',)",0.00334780101433827
